name,team,cost,pos,sel,g,a,cs,mins,ti,to
O. Deman,BEL,6,MID,0,0,0,0,0,59,209
A. Vermeeren,BEL,6,MID,0,0,0,1,89,179,358
A. Saelemaekers,BEL,6,MID,0,0,0,0,37,137,273
A. Onana,BEL,6,MID,0,0,0,3,279,874,999
H. Vanaken,BEL,6,MID,0,0,0,0,0,44,134
J. Brekalo,CRO,6,FWD,0,0,0,0,0,72,215
M. Pašalić,CRO,6,FWD,0,0,0,2,103,301,432
B. Petković,CRO,6,FWD,0,2,1,0,179,683,658
M. Baturina,CRO,6,MID,0,0,0,0,91,42,130
V. Jurečka,CZE,6,FWD,0,0,1,3,225,37,52
J. Kuchta,CZE,6,FWD,0,0,0,0,0,38,67
M. Chytil,CZE,6,FWD,0,0,1,4,608,81,73
L. Provod,CZE,6,MID,0,0,0,0,0,38,110
O. Lingr,CZE,6,MID,0,0,0,5,130,26,97
M. Braithwaite,DEN,6,FWD,0,0,0,0,0,586,752
Y. Poulsen,DEN,6,FWD,0,1,0,0,432,563,704
M. Jensen,DEN,6,MID,0,0,0,0,179,131,302
Y. Fofana,FRA,6,MID,0,2,1,4,188,510,514
B. Varga,HUN,6,FWD,0,4,0,0,372,583,528
K. Horváth,HUN,6,MID,0,0,0,1,90,45,68
W. Gnonto,ITA,6,FWD,0,0,0,0,0,493,674
M. Kean,ITA,6,FWD,0,0,1,2,230,569,718
S. El Shaarawy,ITA,6,FWD,0,1,0,1,69,525,612
M. Retegui,ITA,6,FWD,0,2,0,0,174,799,800
M. Pessina,ITA,6,MID,0,1,0,1,86,60,97
N. Lang,NED,6,FWD,0,0,0,0,35,75,110
T. Dallinga,NED,6,FWD,0,0,0,0,0,11,22
T. Reijnders,NED,6,MID,0,0,0,5,384,682,774
M. Skóraś,POL,6,FWD,0,0,1,3,178,34,45
K. Piątek,POL,6,FWD,0,0,0,0,13,97,144
D. Szymański,POL,6,MID,0,1,0,0,296,29,73
S. Szymański,POL,6,MID,0,2,0,5,420,144,211
R. Neves,POR,6,MID,0,0,3,8,264,635,913
J. Palhinha,POR,6,MID,0,0,1,0,330,1108,1282
F. Coman,ROU,6,FWD,0,1,0,5,540,144,211
I. Hagi,ROU,6,MID,0,2,1,5,317,441,608
O. Moruţan,ROU,6,MID,0,0,4,9,436,132,166
L. Dykes,SCO,6,FWD,0,1,2,0,499,348,825
R. Christie,SCO,6,FWD,0,0,0,4,675,230,216
C. McGregor,SCO,6,MID,0,0,0,0,0,198,322
S. Armstrong,SCO,6,MID,0,1,1,4,178,84,157
L. Jović,SRB,6,FWD,0,0,0,1,5,418,545
R. Boženík,SVK,6,FWD,0,1,1,0,497,75,92
O. Duda,SVK,6,MID,0,2,2,4,658,143,158
L. Bénes,SVK,6,MID,0,0,2,5,258,17,37
R. Mak,SVK,6,MID,0,2,0,4,384,23,54
T. Suslov,SVK,6,MID,0,1,0,6,500,43,48
A. Šporar,SVN,6,FWD,0,3,3,0,550,143,138
Ž. Celar,SVN,6,FWD,0,0,0,0,0,3,9
T. Elšnik,SVN,6,FWD,0,0,0,0,0,13,14
S. Lovrić,SVN,6,MID,0,1,0,6,298,20,27
A. Ruiz,ESP,6,FWD,0,0,0,0,0,41,31
A. Fati,ESP,6,FWD,0,0,0,1,24,496,651
Y. Pino,ESP,6,FWD,0,0,0,2,147,81,126
M. Merino,ESP,6,MID,0,1,1,5,372,110,183
Á. Baena,ESP,6,MID,0,0,0,0,0,73,66
O. Sancet,ESP,6,MID,0,1,0,3,172,12,37
C. Itten,SUI,6,FWD,0,1,0,3,280,32,52
F. Ugrinic,SUI,6,MID,0,0,0,0,0,10,18
R. Steffen,SUI,6,MID,0,3,0,5,334,39,67
R. Vargas,SUI,6,MID,0,3,2,8,661,908,801
Tosun,TUR,6,FWD,0,2,0,0,69,269,316
B. Yılmaz,TUR,6,FWD,0,0,0,0,0,728,714
C. Ünder,TUR,6,FWD,0,0,0,0,0,327,404
O. Kökçü,TUR,6,MID,0,1,2,1,398,568,806
Y. Sarı,TUR,6,MID,0,0,1,1,74,17,38
Y. Yazıcı,TUR,6,MID,0,1,0,1,57,118,130
V. Vanat,UKR,6,FWD,0,0,0,0,289,11,16
R. Yaremchuk,UKR,6,FWD,0,1,1,0,266,471,588
V. Buyalskyi,UKR,6,MID,0,0,0,0,83,26,33
O. Zubkov,UKR,6,MID,0,0,0,4,228,34,35
A. Bondarenko,UKR,6,MID,0,0,0,0,0,8,31
J. Frimpong,NED,5.5,DEF,34,0,0,1,22,51417,38089
A. Rudiger,GER,5.5,DEF,32,0,0,0,0,32763,33685
