name,team,cost,pos,sel,g,a,cs,mins,ti,to
Z. Çelik,TUR,5,DEF,1,0,0,3,342,623,2147
D. Zakaria,SUI,5,MID,1,0,1,3,630,2177,2299
D. Blind,NED,5,DEF,1,0,1,3,275,655,2272
S. de Vrij,NED,5,DEF,1,0,1,0,112,224,1759
J. Timber,NED,5,DEF,1,0,0,0,0,529,2682
M. Cash,POL,5,DEF,1,0,0,0,0,593,3136
G. Mikautadze,GEO,5,FWD,1,0,0,0,0,2563,2393
A. Silva,POR,5,DEF,1,0,1,4,450,915,2194
J. Sá,POR,5,GK,1,0,0,1,5,1488,2383
L. Shaw,ENG,5,DEF,1,0,1,0,116,1290,3121
L. Munteanu,ROU,5,FWD,0,0,0,0,0,300,371
G. Puşcaş,ROU,5,FWD,0,1,0,0,146,981,1006
D. Alibec,ROU,5,FWD,0,3,0,0,522,563,499
F. García,ESP,5,DEF,0,0,0,0,36,131,1542
D. Sorescu,ROU,5,MID,0,0,0,3,450,625,786
G. Taylor,SCO,5,DEF,0,0,0,0,180,123,1706
B. Henrich,GER,5,DEF,0,0,0,0,0,125,1567
J. Henderson,ENG,5,MID,0,0,2,5,379,698,1006
B. Verbič,SVN,5,MID,0,1,0,7,296,344,639
J. Stanković,SVN,5,MID,0,0,0,0,0,317,588
K. Nisbet,SCO,5,FWD,0,0,0,0,59,410,457
M. Zajc,SVN,5,MID,0,0,0,0,0,80,180
J. Kurtić,SVN,5,MID,0,0,0,6,90,88,158
J. Bijol,SVN,5,MID,0,0,0,0,0,108,189
K. Bare,ALB,5,MID,0,0,0,5,103,223,309
L. Krejčí,CZE,5,DEF,0,0,0,0,0,189,1707
L. Ferguson,SCO,5,MID,0,0,0,0,0,1184,1331
A. Hickey,SCO,5,MID,0,0,0,4,455,364,480
F. Mladenović,SRB,5,DEF,0,0,3,4,288,190,1771
M. Ingvartsen,DEN,5,FWD,0,0,0,0,0,478,488
A. Vombergar,SVN,5,FWD,0,0,0,0,24,59,67
P. Ratkov,SRB,5,FWD,0,0,0,0,0,100,94
D. Jovanović,SRB,5,FWD,0,0,0,0,0,211,193
N. Žugelj,SVN,5,FWD,0,0,0,0,0,56,72
M. Grujić,SRB,5,MID,0,0,0,0,0,224,271
N. Gudelj,SRB,5,MID,0,0,0,0,0,337,360
M. Gaćinović,SRB,5,MID,0,0,0,0,0,42,47
U. Račić,SRB,5,MID,0,0,0,2,40,116,142
A. Sadiku,ALB,5,FWD,0,0,0,0,0,138,138
D. Brekalo,SVN,5,DEF,0,0,0,0,0,109,1610
Ž. Karničnik,SVN,5,DEF,0,1,2,4,868,164,1628
D. Ďuriš,SVK,5,FWD,0,1,0,0,84,73,72
A. Zreľák,SVK,5,FWD,0,0,0,1,5,42,51
J. Kadák,SVK,5,MID,0,0,0,0,0,39,61
M. Bero,SVK,5,MID,0,0,0,4,85,34,55
E. Jirka,SVK,5,MID,0,0,0,0,0,26,42
T. Holeš,CZE,5,MID,0,0,0,0,0,199,250
J. Zmrhal,CZE,5,MID,0,0,0,0,0,42,50
D. Beljo,CRO,5,FWD,0,0,0,1,180,152,108
M. Frigan,CRO,5,FWD,0,0,0,0,0,135,101
F. Nmecha,GER,5,MID,0,0,0,0,0,142,174
C. Fuhrich,GER,5,MID,0,0,0,0,0,115,120
G. Promel,GER,5,MID,0,0,0,0,0,17,15
R. Andrich,GER,5,MID,0,0,0,0,0,927,833
J. Šutalo,CRO,5,DEF,0,0,0,5,320,206,1680
B. Barišić,CRO,5,DEF,0,0,0,0,0,91,1626
J. Juranović,CRO,5,DEF,0,0,0,0,0,253,1861
P. Ševčík,CZE,5,MID,0,0,0,0,0,63,77
M. Sadílek,CZE,5,MID,0,0,0,3,241,63,60
L. Sadílek,CZE,5,MID,0,0,0,1,4,15,47
A. Král,CZE,5,MID,0,0,1,3,342,177,234
L. Masopust,CZE,5,MID,0,0,0,0,0,23,32
J. Matoušek,CZE,5,FWD,0,0,0,1,11,172,145
U. Bozok,TUR,5,FWD,0,0,0,0,0,189,192
H. Dervişoğlu,TUR,5,FWD,0,0,0,0,0,112,108
A. Németh,HUN,5,FWD,0,0,0,1,180,251,257
B. Vécsei,HUN,5,MID,0,1,0,0,19,65,85
S. Szuhodovszki,HUN,5,MID,0,0,0,1,90,42,55
L. Kleinheisler,HUN,5,MID,0,0,0,0,15,60,76
A. Vranckx,BEL,5,MID,0,0,1,3,164,69,77
O. Mangala,BEL,5,MID,0,0,2,6,450,340,317
L. Dendoncker,BEL,5,MID,0,0,0,0,0,225,265
E. Fernandes,SUI,5,MID,0,0,0,0,0,180,208
M. Aebischer,SUI,5,MID,0,0,0,1,166,55,73
F. Rieder,SUI,5,MID,0,0,0,2,52,45,52
N. Seiwald,AUT,5,MID,0,0,0,3,720,216,227
D. Ljubicic,AUT,5,MID,0,0,0,3,209,39,48
B. Yıldırım,TUR,5,FWD,0,1,0,2,180,260,287
A. Meret,ITA,5,GK,0,0,0,0,0,111,634
E. Akbaba,TUR,5,FWD,0,0,0,0,0,186,197
Y. Nazaryna,UKR,5,MID,0,0,0,2,64,28,29
L. Geertruida,NED,5,DEF,0,0,0,0,0,260,1861
J. Teze,NED,5,DEF,0,0,0,0,0,74,1555
N. Moro,CRO,5,MID,0,0,0,0,0,39,51
N. Elvedi,SUI,5,DEF,0,0,0,3,390,212,1629
A. Pedraza,ESP,5,MID,0,0,0,0,0,68,92
K. Taylor,NED,5,MID,0,0,0,0,0,104,143
M. Wieffer,NED,5,MID,0,1,0,3,450,285,338
B. Zivzivadze,GEO,5,FWD,0,3,0,0,332,624,580
A. Trubin,UKR,5,GK,0,0,0,0,0,781,1405
K. Arrizabalaga,ESP,5,GK,0,0,0,1,42,171,696
J. Navas,ESP,5,DEF,0,0,1,0,100,83,1506
G. Beridze,GEO,5,FWD,0,0,0,0,0,196,204
G. Kvilitaia,GEO,5,FWD,0,0,0,2,31,700,766
J. Kamiński,POL,5,MID,0,0,1,3,405,104,116
G. Krychowiak,POL,5,MID,0,0,0,1,2,50,74
F. Marchwiński,POL,5,MID,0,0,0,0,0,10,19
B. Lederman,POL,5,MID,0,0,0,0,0,28,41
M. Łęgowski,POL,5,MID,0,0,0,0,0,12,18
P. Wszołek,POL,5,MID,0,0,0,0,0,16,31
P. Dziczek,POL,5,MID,0,0,0,0,0,17,20
İ. Yüksek,TUR,5,MID,0,0,1,3,521,177,144
N. Semedo,POR,5,DEF,0,0,0,0,0,142,1571
G. Tsitaishvili,GEO,5,MID,0,0,0,0,0,52,69
Z. Davitashvili,GEO,5,MID,0,1,0,5,303,64,71
L. Shengelia,GEO,5,MID,0,1,1,3,249,39,54
B. Chilwell,ENG,5,DEF,0,0,0,1,85,225,1731
R. Patrício,POR,5,GK,0,0,0,2,180,529,1093
D. Ihnatenko,UKR,5,MID,0,0,0,0,0,11,22
O. Roshi,ALB,5,MID,0,0,0,0,0,28,35
K. Gjasula,ALB,5,MID,0,0,0,3,435,28,43
Uçan,TUR,5,MID,0,0,0,0,0,59,82
B. Kutlu,TUR,5,MID,0,0,0,0,58,13,27
A. Ömür,TUR,5,MID,0,0,0,0,0,120,150
Danilo,POR,5,MID,0,0,0,6,129,659,833
R. Sanches,POR,5,MID,0,0,0,0,0,651,790
R. James,ENG,5,DEF,0,0,0,0,21,124,1635
K. Phillips,ENG,5,MID,0,1,0,2,198,295,500
I. Konoplianka,UKR,5,MID,0,0,0,0,0,138,203
A. Lunin,UKR,4.5,GK,18,0,0,0,0,51235,30281
D. Schmid,SUI,4.5,MID,14,0,0,0,0,36462,28435
N. Schlotterbeck,GER,4.5,DEF,7,0,0,0,0,20287,24492
J. Tah,GER,4.5,DEF,4,0,0,0,0,24503,15030
B. Verbruggen,NED,4.5,GK,4,0,0,3,348,26591,13993
J. Kankava,GEO,4.5,MID,3,0,0,1,90,7993,7029
J. Vertonghen,BEL,4.5,DEF,3,1,0,0,224,9718,10283
F. Schär,SUI,4.5,DEF,3,0,0,0,181,10807,9188
G. Kobel,SUI,4.5,GK,3,0,0,0,45,6145,6794
F. Mendy,FRA,4.5,DEF,2,0,0,0,0,4425,5042
G. Mamardashvili,GEO,4.5,GK,2,0,0,0,0,2892,3384
N. Kvekveskiri,GEO,4.5,MID,2,0,0,3,383,4281,3723
G. Chakvetadze,GEO,4.5,MID,2,1,3,4,561,8913,4771
W. Orbán,HUN,4.5,DEF,2,0,0,0,0,2773,4329
M. Erlić,CRO,4.5,DEF,1,0,0,0,9,880,2325
D. Vida,CRO,4.5,DEF,1,0,0,0,0,1519,3105
W. Fofana,FRA,4.5,DEF,1,0,0,0,0,638,2024
J. Todibo,FRA,4.5,DEF,1,0,0,0,0,686,2235
A. Areola,FRA,4.5,GK,1,0,0,0,0,1415,2337
L. Klosterman,GER,4.5,DEF,1,0,0,0,0,457,1994
K. Trapp,GER,4.5,GK,1,0,0,0,0,590,1311
A. Theate,BEL,4.5,DEF,1,0,2,5,638,5544,5809
T. Meunier,BEL,4.5,DEF,1,0,0,0,0,2563,4105
M. Kerkez,HUN,4.5,DEF,1,0,0,3,630,2673,4288
P. Gulácsi,HUN,4.5,GK,1,0,0,0,0,3546,3917
A. Buongiorno,ITA,4.5,DEF,1,0,0,0,11,1064,2275
G. Scalvini,ITA,4.5,DEF,1,0,0,0,0,847,2693
G. Mancini,ITA,4.5,DEF,1,0,0,0,0,2115,3143
Emerson,ITA,4.5,DEF,1,0,0,0,0,836,2520
U. Çakır,TUR,4.5,GK,1,0,0,0,0,3707,3759
T. Malacia,NED,4.5,DEF,1,0,0,0,100,523,2057
I. Maatsen,NED,4.5,DEF,1,0,0,0,0,6506,9625
M. Flekken,NED,4.5,GK,1,0,0,0,0,1448,2575
P. Frankowski,POL,4.5,DEF,1,0,0,0,0,758,2157
J. Kiwior,POL,4.5,DEF,1,0,0,4,930,1911,3641
G. Inácio,POR,4.5,DEF,1,2,2,5,383,2657,2599
R. Drăgușin,ROU,4.5,DEF,1,0,0,6,855,1582,1795
B. Özdemir,TUR,4.5,MID,1,0,0,0,0,2179,1653
I. Zabarnyi,UKR,4.5,DEF,1,1,0,3,810,2918,2802
A. Gunn,SCO,4.5,GK,1,0,0,0,0,850,1420
V. Milinković-Savić,SRB,4.5,GK,1,0,0,2,585,1206,1632
M. Dúbravka,SVK,4.5,GK,1,0,0,0,0,885,1304
D. Hollý,SVK,4.5,MID,1,0,0,0,0,1090,997
D. Črnigoj,SVN,4.5,MID,1,0,0,0,0,2977,2507
Ç. Söyüncü,TUR,4.5,DEF,1,0,0,0,246,1296,1807
S. Kjær,DEN,4.5,DEF,1,0,0,0,0,1389,1838
P. Cubarsi,ESP,4.5,DEF,1,0,0,0,0,1283,2233
M. Guéhi,ENG,4.5,DEF,1,0,0,0,0,5742,1459
I. Grbić,CRO,4.5,GK,0,0,0,0,0,631,1124
S. Johnstone,ENG,4.5,GK,0,0,0,0,0,83,552
F. Forster,ENG,4.5,GK,0,0,0,0,0,54,523
C. Lukeba,FRA,4.5,DEF,0,0,0,0,0,207,1739
B. Samba,FRA,4.5,GK,0,0,0,0,55,1670,2149
O. Kakabadze,GEO,4.5,DEF,0,0,0,0,0,345,1833
G. Aburjania,GEO,4.5,MID,0,0,0,0,0,759,898
R. Lewis,ENG,4.5,DEF,0,0,0,0,90,247,1702
S. Lobjanidze,GEO,4.5,MID,0,0,1,2,192,525,721
A. Mekvabishvili,GEO,4.5,MID,0,0,0,0,0,765,957
G. Sigua,GEO,4.5,MID,0,0,0,0,0,361,411
L. Gagnidze,GEO,4.5,MID,0,0,0,2,312,244,244
V. Vladimer,GEO,4.5,MID,0,0,0,3,35,406,401
S. Altunashvili,GEO,4.5,MID,0,0,0,0,0,284,331
J. Vagnoman,GER,4.5,DEF,0,0,0,0,0,99,1554
M. Ginter,GER,4.5,DEF,0,0,0,0,0,204,1662
C. Gunter,GER,4.5,DEF,0,0,0,0,0,135,1570
M. Thiaw,GER,4.5,DEF,0,0,0,0,0,83,1462
B. Leno,GER,4.5,GK,0,0,0,0,0,221,752
Z. Debast,BEL,4.5,DEF,0,0,0,0,45,628,1849
A. Al-Dakhil,BEL,4.5,DEF,0,0,0,0,0,73,1519
H. Siquet,BEL,4.5,DEF,0,0,0,0,28,69,1452
M. Wolf,GER,4.5,DEF,0,0,0,0,0,79,1569
B. Bolla,HUN,4.5,DEF,0,0,0,4,450,94,1549
A. Szalai,HUN,4.5,DEF,0,0,1,3,640,339,1770
J. Ferenczi,HUN,4.5,DEF,0,0,0,1,2,62,1503
P. Baráth,HUN,4.5,MID,0,0,0,1,26,356,310
M. Kata,HUN,4.5,MID,0,0,0,0,0,376,333
F. Gatti,ITA,4.5,DEF,0,0,0,0,90,234,1570
M. Günok,TUR,4.5,GK,0,0,0,0,0,562,911
I. Provedel,ITA,4.5,GK,0,0,0,0,0,117,614
H. Lindner,AUT,4.5,GK,0,0,0,0,0,95,534
A. Schlager,AUT,4.5,GK,0,0,0,3,241,241,705
J. Hato,NED,4.5,DEF,0,0,1,1,90,128,1516
C. Trimmel,AUT,4.5,DEF,0,0,0,0,0,118,1532
G. Trauner,AUT,4.5,DEF,0,0,0,0,0,81,1501
T. Kędziora,POL,4.5,DEF,0,0,0,0,0,55,1554
B. Wdowik,POL,4.5,DEF,0,0,0,0,0,27,233
S. Walukiewicz,POL,4.5,DEF,0,0,0,0,0,52,267
B. Bereszyński,POL,4.5,DEF,0,0,0,0,0,33,237
M. Wieteska,POL,4.5,DEF,0,0,0,0,33,28,220
K. Bielik,POL,4.5,DEF,0,0,0,0,0,66,290
M. Wöber,AUT,4.5,DEF,0,0,0,5,278,124,378
K. Danso,AUT,4.5,DEF,0,0,0,0,0,189,476
M. Bułka,POL,4.5,GK,0,0,0,0,0,75,474
P. Mwene,AUT,4.5,DEF,0,0,0,0,0,48,263
P. Bochniewicz,POL,4.5,DEF,0,0,0,0,34,15,219
T. Gomes,POR,4.5,DEF,0,0,0,0,0,50,235
D. Leite,POR,4.5,DEF,0,0,0,0,0,23,220
S. Baidoo,AUT,4.5,DEF,0,0,0,0,0,41,243
S. Posch,AUT,4.5,DEF,0,0,2,2,453,248,488
A. Ulmer,AUT,4.5,DEF,0,0,0,0,0,28,250
L. Selahi,ALB,4.5,MID,0,0,0,0,0,817,750
J. Mário,POR,4.5,DEF,0,0,0,0,0,89,281
A. Lopes,POR,4.5,GK,0,0,0,0,0,112,555
A. Abrashi,ALB,4.5,MID,0,0,0,0,0,335,301
A. Mucolli,ALB,4.5,MID,0,0,0,0,0,558,517
E. Lenjani,ALB,4.5,MID,0,0,0,0,0,505,454
R. Opruț,ROU,4.5,DEF,0,0,0,0,0,17,236
A. Rus,ROU,4.5,DEF,0,0,0,2,63,23,232
A. Burcă,ROU,4.5,DEF,0,1,0,6,873,317,517
V. Screciu,ROU,4.5,DEF,0,0,0,0,0,10,235
A. Artean,ROU,4.5,MID,0,0,0,0,0,243,256
M. Ștefănescu,ROU,4.5,MID,0,0,0,0,0,344,395
T. Băluţă,ROU,4.5,MID,0,0,0,3,43,408,398
D. Hyam,SCO,4.5,DEF,0,0,0,0,0,54,266
R. Porteous,SCO,4.5,DEF,0,0,0,0,0,195,428
J. Hendry,SCO,4.5,DEF,0,0,1,2,173,127,404
A. Ralston,SCO,4.5,DEF,0,0,0,0,0,64,274
J. Souttar,SCO,4.5,DEF,0,0,0,0,0,37,295
L. Cooper,SCO,4.5,DEF,0,0,0,2,11,93,375
S. McKenna,SCO,4.5,DEF,0,0,0,0,0,36,276
N. Patterson,SCO,4.5,DEF,0,0,0,0,0,165,493
V. Bondar,UKR,4.5,DEF,0,0,0,0,0,38,200
O. Karavaiev,UKR,4.5,DEF,0,1,0,1,140,49,214
S. Kryvtsov,UKR,4.5,DEF,0,0,0,0,17,20,161
A. Terzić,SRB,4.5,DEF,0,0,0,0,0,27,176
S. Babić,SRB,4.5,DEF,0,0,0,0,0,38,175
M. Veljković,SRB,4.5,DEF,0,1,0,0,360,21,165
S. Eraković,SRB,4.5,DEF,0,0,0,2,116,28,166
N. Milenković,SRB,4.5,DEF,0,0,0,3,720,216,365
S. Pavlović,SRB,4.5,DEF,0,0,0,0,0,296,426
O. Tymchyk,UKR,4.5,DEF,0,0,0,0,0,16,148
Đ. Petrović,SRB,4.5,GK,0,0,0,0,0,421,1032
N. Gyömbér,SVK,4.5,DEF,0,0,0,0,0,32,155
M. Tomič,SVK,4.5,DEF,0,0,0,3,45,26,143
D. Vavro,SVK,4.5,DEF,0,0,0,0,0,42,144
D. Hancko,SVK,4.5,DEF,0,2,3,5,896,2211,1653
P. Pekarík,SVK,4.5,DEF,0,0,0,5,810,16,51
V. Dubinchak,UKR,4.5,DEF,0,0,0,0,0,12,65
M. Matviyenko,UKR,4.5,DEF,0,0,0,0,0,191,197
D. Popov,UKR,4.5,DEF,0,0,0,0,0,35,80
Y. Konoplia,UKR,4.5,DEF,0,1,2,5,800,1369,973
A. Obert,SVK,4.5,MID,0,0,0,0,0,718,645
C. Herc,SVK,4.5,MID,0,0,0,0,0,642,709
M. Blažič,SVN,4.5,DEF,0,0,0,0,0,41,72
J. Balkovec,SVN,4.5,DEF,0,0,0,3,195,13,39
V. Drkušić,SVN,4.5,DEF,0,0,0,0,0,19,54
E. Janža,SVN,4.5,DEF,0,2,0,2,498,119,142
V. Belec,SVN,4.5,GK,0,0,0,0,0,27,335
M. Vidovšek,SVN,4.5,GK,0,0,0,0,45,14,289
D. García,ESP,4.5,DEF,0,0,0,0,0,74,112
R. Le Normand,ESP,4.5,DEF,0,1,0,0,367,1621,1434
A. Remiro,ESP,4.5,GK,0,0,0,0,0,51,397
R. Sánchez,ESP,4.5,GK,0,0,0,0,0,376,874
E. Mihaj,ALB,4.5,DEF,0,0,0,0,70,61,112
D. Riznyk,UKR,4.5,GK,0,0,0,0,0,34,333
C. Zesiger,SUI,4.5,DEF,0,0,0,1,127,34,75
S. Widmer,SUI,4.5,DEF,0,0,0,0,0,416,342
J. Lotomba,SUI,4.5,DEF,0,0,0,0,56,16,47
R. Rodríguez,SUI,4.5,DEF,0,0,0,0,0,690,795
E. Cömert,SUI,4.5,DEF,0,0,0,0,0,17,36
M. Mitaj,ALB,4.5,DEF,0,0,0,0,0,100,98
I. Balliu,ALB,4.5,DEF,0,0,0,1,42,24,39
E. Hysaj,ALB,4.5,DEF,0,0,0,0,0,75,133
B. Djimsiti,ALB,4.5,DEF,0,0,0,0,0,176,183
E. Sarapii,UKR,4.5,DEF,0,0,0,0,0,10,29
A. Bardakcı,TUR,4.5,DEF,0,1,0,3,192,599,419
M. Demiral,TUR,4.5,DEF,0,0,0,0,0,330,436
O. Bulut,TUR,4.5,DEF,0,0,0,0,0,8,31
O. Kabak,TUR,4.5,DEF,0,0,0,0,0,189,232
C. Özkacar,TUR,4.5,DEF,0,0,1,2,297,136,144
E. Elmalı,TUR,4.5,DEF,0,0,0,2,220,7,25
M. Müldür,TUR,4.5,DEF,0,0,0,0,13,119,95
K. Ayhan,TUR,4.5,DEF,0,0,0,0,0,36,43
J. Pavlenka,CZE,4.5,GK,0,0,0,0,0,226,580
A. Ajeti,ALB,4.5,DEF,0,0,0,0,0,15,38
V. Kristiansen,DEN,4.5,DEF,0,0,1,2,202,3228,2380
A. Bah,DEN,4.5,DEF,0,0,1,1,245,661,608
J. Stryger,DEN,4.5,DEF,0,0,0,3,118,21,52
M. Jørgensen,DEN,4.5,DEF,0,0,0,0,0,18,46
J. Vestergaard,DEN,4.5,DEF,0,0,0,0,0,222,276
V. Nelsson,DEN,4.5,DEF,0,0,0,0,0,27,58
R. Kristensen,DEN,4.5,DEF,0,0,0,0,0,464,450
D. Douděra,CZE,4.5,DEF,0,1,0,3,324,82,117
D. Jurásek,CZE,4.5,DEF,0,0,1,3,411,224,195
J. Zelený,CZE,4.5,DEF,0,0,0,0,0,22,54
E. Konsa,ENG,4.5,DEF,0,0,0,0,0,290,230
E. Dier,ENG,4.5,DEF,0,0,0,0,0,147,263
F. Tomori,ENG,4.5,DEF,0,0,0,1,6,143,260
M. Mittelstadt,GER,4,DEF,16,0,0,0,0,71603,7456
W. Faes,BEL,4,DEF,8,0,0,0,0,43768,14854
M. Kumbulla,ALB,4,DEF,7,0,0,0,58,18762,19508
B. Drągowski,POL,4,GK,7,0,0,0,0,15897,12223
N. Aliji,ALB,4,DEF,5,0,0,0,0,10217,9825
O. Baumann,GER,4,GK,4,0,0,0,0,4755,5273
J. Cillessen,NED,4,GK,3,0,0,1,17,4109,4163
A. Bayındır,TUR,4,GK,3,0,0,1,19,9335,5679
M. Sels,BEL,4,GK,3,0,0,0,0,21737,13546
I. Radu,ROU,4,GK,3,0,0,1,111,4801,3441
J. Bednarek,POL,4,DEF,2,0,0,0,0,7135,6611
A. Hadroj,ALB,4,DEF,1,0,0,0,0,2046,2208
C. Biai,POR,4,GK,1,0,0,0,0,1496,1751
P. Dawidowicz,POL,4,DEF,1,0,0,0,74,1473,1409
S. Lainer,AUT,4,DEF,1,0,0,0,0,1228,1267
A. Romagnoli,ITA,4,DEF,1,0,0,0,0,2263,2165
T. Keher,GER,4,DEF,1,0,0,0,0,1174,1173
D. Dibusz,HUN,4,GK,1,0,0,0,0,4778,3643
T. Strakosha,ALB,4,GK,1,0,0,0,0,4029,3671
E. Berisha,ALB,4,GK,1,0,0,2,115,2325,1814
L. Kelly,SCO,4,GK,1,0,0,0,0,991,1025
G. Hanley,SCO,4,DEF,1,0,0,0,0,1508,1519
H. Moldovan,ROU,4,GK,1,0,0,0,0,4964,2963
F. Niță,ROU,4,GK,1,0,0,0,0,815,663
L. Dvali,GEO,4,DEF,1,0,0,0,0,1100,1203
N. Bancu,ROU,4,DEF,1,0,1,4,540,2022,1546
A. Rațiu,ROU,4,DEF,1,0,1,4,450,1128,1111
C. Manea,ROU,4,DEF,1,0,0,0,0,2640,2527
B. Racoviţan,ROU,4,DEF,0,0,0,0,0,648,830
Ł. Skorupski,POL,4,GK,0,0,0,0,0,559,796
T. Puchacz,POL,4,DEF,0,0,0,0,0,630,770
M. Karbownik,POL,4,DEF,0,0,0,0,81,253,347
P. Peda,POL,4,DEF,0,0,0,0,0,172,225
B. Salamon,POL,4,DEF,0,0,0,0,0,286,341
G. Gocholeishvilli,GEO,4,DEF,0,0,0,3,540,900,774
S. Sazonov,GEO,4,DEF,0,0,0,0,0,233,299
F. Veseli,ALB,4,DEF,0,0,0,0,0,256,309
J. Mersinaj,ALB,4,DEF,0,0,0,0,0,103,149
A. Ismajli,ALB,4,DEF,0,0,0,0,0,454,409
G. Kashia,GEO,4,DEF,0,0,0,0,0,405,429
R. Gumny,POL,4,DEF,0,0,0,0,45,144,183
I. Gelashvili,GEO,4,DEF,0,0,0,0,0,62,97
G. Gvelesiani,GEO,4,DEF,0,0,0,0,0,196,169
P. Lienhart,AUT,4,DEF,0,0,0,0,0,466,467
A. Noppert,NED,4,GK,0,0,0,0,0,501,929
J. Bijlow,NED,4,GK,0,0,0,0,0,706,971
K. Scherpen,NED,4,GK,0,0,0,0,0,64,366
J. Tabidze,GEO,4,DEF,0,0,0,0,0,88,76
M. Pongračić,CRO,4,DEF,0,0,0,0,0,247,245
E. Jelert,DEN,4,DEF,0,0,0,0,90,357,388
M. Vitík,CZE,4,DEF,0,0,0,1,29,208,222
P. Stronati,CZE,4,DEF,0,0,0,0,0,77,96
I. Ivušić,CRO,4,GK,0,0,0,0,0,426,635
U. Garcia,SUI,4,DEF,0,0,0,0,0,283,276
L. Benito,SUI,4,DEF,0,0,0,0,0,66,75
M. Lang,SUI,4,DEF,0,0,0,0,0,444,466
N. Labrović,CRO,4,GK,0,0,0,0,0,226,474
A. Bodart,BEL,4,GK,0,0,0,0,0,130,372
L. Dunk,ENG,4,DEF,0,0,0,0,0,913,772
M. Shevchenko,UKR,4,GK,0,0,0,0,0,478,690
N. Olij,NED,4,GK,0,0,0,0,0,63,306
F. Daniliuc,AUT,4,DEF,0,0,0,0,0,89,100
J. Auer,AUT,4,DEF,0,0,0,0,0,120,135
T. Kaminski,BEL,4,GK,0,0,0,0,0,413,614
A. Racioppi,SUI,4,GK,0,0,0,0,0,45,313
J. Omlin,SUI,4,GK,0,0,0,0,0,157,389
J. Frick,SUI,4,GK,0,0,0,0,0,178,386
Y. Mvogo,SUI,4,GK,0,0,0,0,0,2301,2114
G. Bushchan,UKR,4,GK,0,0,0,0,0,124,325
D. Schnegg,AUT,4,DEF,0,0,0,0,0,91,104
E. Özbir,TUR,4,GK,0,0,0,0,0,200,376
M. Şengezer,TUR,4,GK,0,0,0,0,0,72,305
T. Lawal,AUT,4,GK,0,0,0,0,0,95,313
P. Pentz,AUT,4,GK,0,0,0,0,0,745,635
N. Hedl,AUT,4,GK,0,0,0,0,0,49,297
M. Carnesecchi,ITA,4,GK,0,0,0,0,0,272,520
W. Falcone,ITA,4,GK,0,0,0,0,0,130,371
D. Bachmann,AUT,4,GK,0,0,0,0,0,398,608
R. Tolói,ITA,4,DEF,0,0,0,1,135,536,482
A. Cambiaso,ITA,4,DEF,0,0,0,0,0,1362,1081
N. Casale,ITA,4,DEF,0,0,0,0,0,209,192
F. Rønnow,DEN,4,GK,0,0,0,0,0,658,657
M. Hermansen,DEN,4,GK,0,0,0,0,0,253,433
L. Colwill,ENG,4,DEF,0,0,0,0,0,330,456
W. Anton,GER,4,DEF,0,0,0,0,0,190,211
R. Koch,GER,4,DEF,0,0,0,0,0,237,299
G. Loria,GEO,4,GK,0,0,0,0,0,151,371
J. Brabec,CZE,4,DEF,0,0,0,0,0,171,201
V. Jemelka,CZE,4,DEF,0,0,0,1,24,62,77
D. Zima,CZE,4,DEF,0,0,0,1,180,297,262
L. Gugeshashvili,GEO,4,GK,0,0,0,0,0,120,357
S. Kverkvelia,GEO,4,DEF,0,0,0,0,0,202,234
I. Azarov,GEO,4,DEF,0,0,0,0,0,85,116
M. Lazzari,ITA,4,DEF,0,0,0,0,0,337,321
P. Szappanos,HUN,4,GK,0,0,0,0,0,64,281
P. Demjén,HUN,4,GK,0,0,0,0,0,93,343
K. Hegyi,HUN,4,GK,0,0,0,0,0,58,282
E. Botka,HUN,4,DEF,0,0,0,0,0,173,159
L. Lochoshvili,GEO,4,DEF,0,0,0,0,0,94,99
J. Staněk,CZE,4,GK,0,0,0,1,50,1271,1043
T. Vaclík,CZE,4,GK,0,0,0,0,0,252,480
M. Kovář,CZE,4,GK,0,0,0,0,0,479,568
T. Koubek,CZE,4,GK,0,0,0,0,0,107,333
A. Mandous,CZE,4,GK,0,0,0,0,0,45,274
S. Akaydin,TUR,4,DEF,0,0,1,2,270,461,407
M. Aydın,TUR,4,DEF,0,0,0,0,0,141,147
A. Kalandadze,GEO,4,DEF,0,0,0,0,0,49,52
D. Miroshnichenko,UKR,4,DEF,0,0,0,0,0,161,155
E. Kastrati,ALB,4,GK,0,0,0,0,0,208,381
M. Rodák,SVK,4,GK,0,0,0,0,0,197,345
H. Ravas,SVK,4,GK,0,0,0,0,0,56,298
A. Fiola,HUN,4,DEF,0,0,0,0,0,53,63
A. Mocsi,HUN,4,DEF,0,0,0,0,0,62,87
Á. Lang,HUN,4,DEF,0,0,0,0,0,2091,1718
Ľ. Šatka,SVK,4,DEF,0,1,0,1,149,87,83
V. De Marco,SVK,4,DEF,0,0,0,1,20,163,155
B. Balogh,HUN,4,DEF,0,0,0,0,0,105,133
Z. Nagy,HUN,4,DEF,0,0,0,0,0,506,377
L. Négo,HUN,4,DEF,0,0,2,2,345,2307,1738
G. Szalai,HUN,4,DEF,0,0,0,0,0,207,196
M. Valjent,SVK,4,DEF,0,0,0,0,0,61,67
D. Zec,SVN,4,DEF,0,0,0,0,0,41,62
Ž. Zaletel,SVN,4,DEF,0,0,0,0,0,45,72
